종목,홈팀,기준점,원정팀,게임유형,승,무,패,최종스코어,경기결과
NBA,올랜매직,H +6.5, 멤피그리,핸디캡,승1.79,-,패1.73,121.5 : 123,패
NBA,올랜매직,U/O 226.5, 멤피그리,언더오버,U1.81,-,O1.71,238,O
NBA,올랜매직,U/O 227.5, 멤피그리,언더오버,U1.81,-,O1.71,238,O
NBA,올랜매직,U/O 229.5, 멤피그리,언더오버,U1.81,-,O1.71,238,O
NBA,댈러매버,, 보스셀틱,일반,승1.90,-,패1.64,95 : 124,패
NBA,댈러매버,H +2.5, 보스셀틱,핸디캡,승1.76,-,패1.76,97.5 : 124,패
NBA,댈러매버,U/O 229.5, 보스셀틱,언더오버,U1.81,-,O1.71,219,U
NBA,댈러매버,U/O 232.5, 보스셀틱,언더오버,U1.76,-,O1.76,219,U
NBA,휴스로케,, 유타재즈,일반,승2.87,-,패1.27,114 : 131,패
NBA,휴스로케,H +5.5, 유타재즈,핸디캡,승1.84,-,패1.69,119.5 : 131,패
NBA,휴스로케,H +6.5, 유타재즈,핸디캡,승1.77,-,패1.75,120.5 : 131,패
NBA,휴스로케,U/O 232.5, 유타재즈,언더오버,U1.71,-,O1.81,245,O
NBA,덴버너게,, LA클리퍼,일반,승1.35,-,패2.53,122 : 91,승
NBA,덴버너게,H -4.5, LA클리퍼,핸디캡,승1.68,-,패1.85,117.5 : 91,승
NBA,덴버너게,H -5.5, LA클리퍼,핸디캡,승1.68,-,패1.85,116.5 : 91,승
NBA,덴버너게,U/O 225.5, LA클리퍼,언더오버,U1.77,-,O1.75,213,U
NBA,덴버너게,U/O 226.5, LA클리퍼,언더오버,U1.77,-,O1.75,213,U
NBA,덴버너게,U/O 229.5, LA클리퍼,언더오버,U1.77,-,O1.75,213,U
NBA,덴버너게,U/O 230.5, LA클리퍼,언더오버,U1.77,-,O1.75,213,U
